date,TSMC,應用材料,ASML,SUMCO
2021-06-06,47,12,21,4
2021-06-13,47,9,17,1
2021-06-20,50,14,25,0
2021-06-27,53,9,20,0
2021-07-04,62,8,19,0
2021-07-11,100,13,26,1
2021-07-18,78,8,34,2
2021-07-25,58,7,20,2
2021-08-01,46,7,26,1
2021-08-08,56,8,30,2
2021-08-15,71,15,23,2
2021-08-22,67,10,22,2
2021-08-29,63,10,34,1
2021-09-05,76,10,38,1
2021-09-12,50,10,31,2
2021-09-19,54,7,25,2
2021-09-26,69,11,44,1
2021-10-03,71,11,39,0
2021-10-10,64,7,27,2
2021-10-17,78,11,51,2
2021-10-24,65,11,36,0
2021-10-31,65,11,33,0
2021-11-07,73,12,38,1
2021-11-14,68,11,29,1
2021-11-21,61,7,29,1
2021-11-28,59,8,27,2
2021-12-05,60,13,25,5
2021-12-12,60,10,26,1
2021-12-19,52,11,33,0
2021-12-26,47,10,27,1
2022-01-02,94,14,55,1
2022-01-09,98,9,38,2
2022-01-16,84,17,34,1
2022-01-23,79,5,41,0
2022-01-30,41,7,30,1
2022-02-06,65,8,36,3
2022-02-13,72,12,32,1
2022-02-20,87,11,24,2
2022-02-27,72,9,30,1
2022-03-06,96,13,42,3
2022-03-13,88,15,36,2
2022-03-20,70,12,37,3
2022-03-27,67,8,35,2
2022-04-03,54,8,28,1
2022-04-10,73,12,35,1
2022-04-17,70,11,32,2
2022-04-24,73,6,27,0
2022-05-01,73,10,24,1
2022-05-08,80,8,27,3
2022-05-15,67,5,33,3
2022-05-22,66,9,32,3
2022-05-29,34,4,18,0
